Longitude,Latitude,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,1st_Road_Class,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Accident_Severity
0.065446,51.493759,1,1,6,17,3,6,30,1,1,1,1,3
0.06176,51.482313,2,1,7,11,3,6,30,1,1,1,1,3
0.059702,51.455819,2,1,5,7,5,6,30,1,1,1,1,3
0.026897,51.452884,2,1,3,19,3,6,30,4,1,1,1,3
0.017895,51.49027,2,1,4,19,3,1,30,4,1,1,1,3
0.055461,51.492765,1,1,4,14,3,6,30,1,1,1,1,3
0.02105,51.489946,2,1,6,11,3,6,30,1,1,1,1,3
0.070963,51.48197,2,1,6,19,5,6,30,4,1,1,1,3
0.106902,51.477373,3,1,6,23,3,6,30,4,1,2,1,3
0.070375,51.491244,2,1,7,9,3,6,30,1,1,1,1,3
0.036419,51.479248,2,1,1,15,5,6,30,1,1,1,1,3
0.065977,51.435385,1,1,4,13,5,6,30,1,2,2,1,3
0.066946,51.488696,3,1,5,19,3,6,30,4,1,1,1,3
0.026984,51.487326,2,1,6,10,3,6,30,1,1,1,1,3
0.082499,51.491748,2,4,6,8,6,6,30,1,1,1,1,3
0.058928,51.457811,2,1,6,13,5,6,30,1,1,1,1,3
0.015714,51.473491,2,1,7,10,3,6,30,1,1,1,1,3
0.115837,51.486835,1,1,1,22,6,6,30,4,1,1,1,3
0.019485,51.454541,2,1,4,7,3,3,40,1,1,2,1,3
0.0847,51.480018,2,1,6,0,5,6,30,4,1,1,1,3
-0.015125,51.472938,1,1,4,16,3,6,30,1,1,1,1,3
-0.001344,51.504898,3,1,6,6,3,6,30,4,1,1,1,3
0.078,51.491019,1,1,1,0,3,3,30,4,1,1,1,3
-0.002447,51.482975,2,1,5,15,3,6,30,1,1,1,1,3
0.06364,51.434616,2,1,2,16,3,3,50,1,4,1,1,3
0.089326,51.486681,1,1,1,13,6,6,30,1,1,1,1,3
0.02191,51.454049,1,1,2,13,3,6,30,1,1,1,1,3
0.026166,51.472142,2,1,3,8,3,3,50,1,1,1,1,3
0.053858,51.437846,2,1,3,7,3,3,40,1,1,1,1,3
0.024383,51.474151,3,1,3,6,3,3,50,1,1,1,1,3
0.049992,51.451133,2,1,2,14,3,6,30,1,1,1,1,3
0.048706,51.451336,2,1,6,18,3,6,30,4,1,1,1,3
0.04777,51.433636,2,1,2,18,3,6,30,4,1,1,1,3
0.120584,51.449428,2,1,3,9,3,7,30,1,8,2,1,3
0.089116,51.488393,1,1,5,8,3,6,30,1,1,1,1,3
0.089918,51.480735,2,1,7,22,5,1,30,4,1,1,1,3
0.064811,51.489273,1,1,4,19,3,6,30,4,1,2,1,3
0.061756,51.482223,1,1,3,16,3,6,30,1,1,1,1,3
-0.015798,51.470701,1,1,5,9,6,6,30,1,1,1,1,2
0.048529,51.460242,2,1,4,15,3,6,30,1,1,1,1,3
0.045151,51.4362,2,2,3,11,3,6,30,1,1,1,1,3
0.024525,51.487098,2,1,3,16,3,6,30,1,1,1,1,3
0.008061,51.486122,1,1,5,17,3,6,30,1,1,1,1,3
0.121171,51.493123,2,2,3,14,3,6,30,1,1,1,1,3
0.017551,51.489017,2,1,4,17,6,6,30,1,1,1,1,3
0.066941,51.482221,3,1,1,15,5,6,30,1,1,1,1,3
0.181246,51.48105,1,1,1,3,5,6,30,4,7,2,1,2
0.023828,51.47461,2,1,3,15,3,1,30,1,1,1,1,3
0.001781,51.484161,2,1,2,18,3,6,30,4,1,1,1,3
0.012892,51.491165,3,1,6,14,3,6,30,1,1,1,1,3
0.066028,51.490691,1,1,6,15,6,6,30,1,1,1,1,3
0.063283,51.493707,1,1,7,15,3,6,30,1,1,1,1,3
0.022833,51.487937,2,1,7,17,6,6,30,1,1,1,1,3
0.047183,51.491291,1,1,1,19,6,6,30,1,1,1,1,3
0.026485,51.453341,2,1,3,18,3,6,30,1,1,1,1,3
0.0641,51.428853,2,1,7,19,4,6,30,1,1,1,1,3
0.026168,51.459192,1,1,2,9,3,6,30,1,1,1,1,3
0.052374,51.443268,2,2,6,11,3,6,30,1,1,1,1,3
0.071155,51.438531,3,1,7,20,3,6,30,4,1,1,1,2
0.051493,51.449309,2,1,7,11,3,6,30,1,1,1,1,3
0.062393,51.489945,2,1,5,12,6,6,30,1,1,1,1,3
0.073481,51.486692,2,1,5,19,5,6,30,1,1,1,1,3
0.092483,51.467559,2,2,1,21,5,6,30,4,1,1,1,3
0.02191,51.454049,3,1,6,19,6,6,30,4,2,2,1,3
0.07864,51.438578,1,1,2,12,6,6,30,1,1,1,1,3
0.063547,51.493163,2,1,3,10,6,6,30,1,2,2,1,3
0.097085,51.486272,2,1,4,16,3,6,30,1,1,1,1,3
0.12023,51.500785,1,1,4,5,3,1,30,4,2,2,1,3
0.099507,51.485689,2,1,6,7,3,6,30,1,1,1,1,3
0.045639,51.472883,2,1,6,16,3,6,30,1,1,1,1,3
0.025338,51.453451,2,1,7,16,3,6,30,1,1,1,1,3
0.072113,51.437435,2,2,4,22,3,6,30,4,1,1,1,3
0.046791,51.48896,1,1,5,16,6,6,30,1,1,1,1,3
0.054911,51.470922,4,2,7,11,3,6,30,1,1,1,1,3
-0.010153,51.481307,1,1,1,16,3,2,30,1,1,1,1,3
0.034524,51.488454,3,2,2,13,3,1,30,1,1,1,1,3
0.089403,51.497831,3,1,5,23,3,6,30,4,2,2,1,3
0.004263,51.484928,2,1,1,19,3,6,30,4,2,2,1,3
-0.021838,51.474221,1,1,6,17,3,6,30,1,1,1,1,3
0.068303,51.490021,1,1,4,12,6,6,30,1,1,1,1,3
0.018486,51.454738,2,1,7,1,3,6,30,4,1,1,1,3
0.052137,51.450826,1,1,6,11,3,6,30,1,2,2,1,3
0.048274,51.451343,2,2,4,22,3,3,30,4,1,1,1,3
-0.011116,51.47242,1,1,4,15,3,6,30,1,1,1,1,3
0.039277,51.481986,3,1,6,15,4,6,30,1,1,1,1,3
0.043552,51.451965,3,1,6,13,3,6,30,1,1,1,1,3
0.065786,51.482152,4,3,3,8,5,6,30,1,1,1,1,3
0.053024,51.480218,2,1,3,23,5,6,30,4,2,2,1,3
0.054574,51.450604,1,1,6,15,3,6,30,1,1,1,1,3
0.029078,51.450148,2,1,7,19,3,1,30,1,1,1,1,3
0.054915,51.471012,2,2,2,23,3,6,30,4,1,1,1,3
0.043381,51.473911,1,1,7,18,6,6,30,1,1,1,1,3
0.102146,51.499222,3,1,5,14,3,1,30,1,1,1,1,3
0.066204,51.469105,2,1,4,15,3,6,30,1,1,1,1,3
0.065684,51.451218,1,1,7,10,3,6,30,1,1,1,1,3
0.05651,51.487261,1,1,4,14,4,6,30,1,1,1,1,3
0.048887,51.490722,1,1,5,16,6,6,30,1,1,1,1,3
0.089256,51.488301,2,2,2,21,3,6,30,4,1,1,1,3
0.039126,51.485047,2,1,3,16,6,6,30,1,1,1,1,3
0.121517,51.488171,2,1,3,19,3,6,30,1,1,1,1,3
0.091439,51.476211,2,1,1,13,6,6,30,1,1,1,1,3
0.049659,51.459773,1,1,6,17,3,6,30,1,1,1,1,2
0.08724,51.494632,2,1,6,7,3,6,30,1,1,1,1,3
0.02937,51.450233,2,1,6,13,3,1,30,1,1,1,1,3
0.017627,51.454843,2,1,7,12,3,6,30,1,1,1,1,3
-0.000491,51.4717,2,3,1,3,3,6,30,4,1,2,1,3
0.063402,51.48678,2,3,2,18,3,6,30,1,1,1,1,2
0.053015,51.467178,1,1,3,15,5,6,30,1,1,1,1,3
-0.014358,51.477331,2,1,3,18,3,6,30,1,1,1,1,3
-0.015269,51.47294,1,1,4,14,3,6,30,1,1,1,1,3
0.019485,51.454541,2,1,4,16,3,6,30,1,1,1,1,3
0.069959,51.482078,2,1,5,6,5,6,30,1,1,1,1,3
0.039383,51.464988,2,3,5,14,6,6,30,1,1,1,1,3
0.060964,51.493388,2,1,5,12,3,6,30,1,1,1,1,3
0.031857,51.486792,2,1,7,16,5,6,30,1,1,1,1,3
0.053442,51.492711,1,1,6,19,3,6,30,4,1,1,1,3
0.050132,51.451041,1,1,2,7,3,6,30,1,1,1,1,3
0.047468,51.468714,3,1,6,3,6,6,30,4,1,1,1,3
0.02935,51.449784,2,1,1,14,3,1,30,1,1,1,1,3
0.026018,51.472054,2,1,5,23,3,3,40,4,1,1,1,3
0.036681,51.452804,2,1,1,18,3,1,30,1,1,1,1,3
0.096813,51.474047,2,1,7,4,6,6,30,4,1,1,1,3
0.07875,51.48534,2,1,3,9,6,6,30,1,1,1,1,3
0.028652,51.479473,3,1,5,12,4,6,30,1,1,1,1,3
0.016317,51.47411,2,1,7,16,4,6,30,1,1,1,1,3
0.002305,51.496113,4,1,1,1,3,6,30,4,1,1,1,3
0.030581,51.445086,1,1,3,12,6,6,30,1,1,1,1,3
0.009112,51.464162,2,1,6,12,4,6,30,1,1,1,1,3
0.047452,51.455494,2,2,5,6,3,3,50,1,1,1,1,3
0.001275,51.498918,1,1,5,16,3,6,30,1,1,1,1,3
0.075688,51.49088,1,1,5,14,3,6,30,1,1,1,1,3
0.062447,51.462426,1,1,6,15,6,6,30,1,1,1,1,3
0.066699,51.45138,2,1,3,16,3,6,30,1,1,1,1,3
0.003576,51.47253,2,2,7,8,6,6,30,1,1,1,1,3
0.077856,51.491021,5,4,2,17,3,3,30,1,1,1,1,3
0.084999,51.489725,2,1,2,17,3,3,30,1,1,1,1,3
0.027571,51.461596,2,1,6,9,6,6,30,1,1,1,1,3
0.090419,51.497992,2,1,3,15,3,3,50,1,1,1,1,2
0.068438,51.489839,2,1,4,16,3,2,30,1,1,1,1,3
0.089963,51.488018,1,1,5,15,3,6,30,1,1,1,1,3
0.029638,51.449779,2,1,5,5,3,9,30,1,1,1,1,3
0.005194,51.479876,1,1,1,8,6,6,30,1,1,1,1,3
0.102004,51.489871,2,1,1,23,6,6,30,4,1,1,1,3
0.039798,51.490431,2,1,2,7,3,6,30,1,1,1,1,3
0.036405,51.453079,2,1,3,14,3,1,30,1,1,1,1,3
-0.007053,51.479726,1,1,5,8,6,6,30,1,1,1,1,3
0.041636,51.457395,2,1,2,17,3,3,50,1,1,1,1,3
0.023768,51.453747,2,1,6,11,3,6,30,1,1,1,1,3
0.064813,51.451053,1,1,2,14,3,6,30,1,1,1,1,3
0.020327,51.486631,3,1,2,16,3,6,30,1,1,1,1,3
0.050132,51.451041,2,1,1,10,3,6,30,1,1,1,1,3
0.065762,51.487998,2,1,6,22,3,6,30,4,1,1,1,3
0.065602,51.487641,2,1,6,21,3,6,30,4,1,1,1,3
-0.014273,51.472654,2,1,2,19,3,6,30,1,1,1,1,3
0.118368,51.504146,2,1,3,11,3,1,30,1,1,1,1,3
0.111495,51.505079,1,1,6,8,6,6,30,1,2,2,1,2
-0.000779,51.471705,2,1,2,19,3,6,30,1,1,1,1,3
0.01744,51.486501,2,1,1,17,3,6,30,1,1,1,1,3
0.051414,51.450749,1,1,6,18,3,6,30,1,1,1,1,3
0.023615,51.476322,2,1,2,9,4,6,30,1,1,1,1,3
-0.010828,51.472415,2,1,1,10,3,6,30,1,1,1,1,3
0.047791,51.437323,2,1,3,18,3,6,30,1,1,1,1,3
0.026239,51.493274,1,1,4,16,6,6,30,1,1,1,1,3
0.027065,51.47941,2,1,5,8,4,6,30,1,1,1,1,3
0.004981,51.494718,2,1,5,15,3,3,50,1,1,1,1,3
-0.01234,51.477387,1,1,6,15,3,6,30,1,1,1,1,3
0.121171,51.493123,3,1,1,14,3,6,30,1,1,1,1,3
-0.009497,51.47653,1,1,1,22,4,6,30,4,1,1,1,3
0.05302,51.480128,2,1,1,16,5,6,30,1,1,1,1,3
0.018914,51.454641,2,1,2,18,6,6,30,1,2,2,1,3
0.070469,51.439262,2,1,3,10,3,6,30,1,1,1,1,3
0.009449,51.468562,2,1,3,20,4,6,30,1,1,1,1,3
0.007341,51.4927,2,1,4,9,3,3,50,1,1,1,1,2
0.041196,51.457222,2,1,5,7,3,3,50,1,2,2,1,3
0.101665,51.482503,1,1,2,20,3,6,30,1,1,1,1,3
0.024936,51.489879,2,1,6,23,3,6,30,4,1,1,1,3
0.068303,51.490021,1,1,6,10,6,6,30,1,1,1,1,3
0.086702,51.489156,1,1,7,17,3,6,30,1,1,2,1,3
0.019898,51.476926,1,1,6,16,4,6,30,1,1,1,1,2
0.10334,51.503247,1,1,7,18,3,1,30,1,1,1,1,3
0.082602,51.490847,2,1,3,12,3,3,30,1,1,1,1,3
0.06929,51.480022,1,1,5,23,6,6,30,4,1,1,1,3
0.062636,51.450642,2,1,3,17,5,6,30,1,1,1,1,2
0.109824,51.484515,1,1,6,11,6,6,30,1,1,1,1,3
0.058107,51.49074,1,1,5,15,6,6,30,1,1,1,1,3
0.101374,51.485566,2,1,7,12,6,6,30,1,1,1,1,3
0.0069,51.495765,2,2,2,7,6,3,30,1,2,2,1,3
0.066587,51.490321,1,2,7,17,6,6,30,1,1,1,1,3
0.073949,51.490641,3,5,7,14,3,6,30,1,1,1,1,2
0.041986,51.452352,3,1,7,16,3,6,30,1,1,1,1,3
0.030092,51.463261,2,1,5,22,3,3,50,4,1,1,1,2
0.026854,51.47141,2,1,3,12,3,3,50,1,1,1,1,3
0.065726,51.493574,2,1,5,14,3,1,30,1,1,1,1,3
0.063262,51.486873,2,2,4,15,3,3,30,1,1,1,1,3
-0.019139,51.473366,2,1,5,20,3,6,30,1,1,1,1,3
0.055437,51.450588,1,1,7,14,3,6,30,1,1,1,1,3
0.066117,51.435292,1,1,5,14,5,6,30,1,1,1,1,3
0.054658,51.458876,1,1,2,19,6,6,30,1,1,1,1,3
0.083615,51.481477,2,1,7,17,6,6,30,1,1,1,1,3
0.063936,51.434791,3,1,2,8,5,6,30,1,1,1,1,3
0.018674,51.455724,2,1,5,8,6,6,30,1,1,1,1,3
0.088208,51.477977,1,1,2,21,6,6,30,4,1,1,1,3
